result1,result2,result3,result4,result5,result6,result7,result8,result9,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147,result148,result149,result150,result151,result152,result153,result154,result155,result156,result157,result158,result159,result160,result161,result162,result163,result164,result165,result166,result167,result168,result169,result170,result171,result172,result173,result174,result175,result176,result177,result178,result179,result180,result181,result182,result183,result184,result185,result186,result187,result188,result189,result190,result191,result192,result193,result194,result195,result196,result197,result198,result199,result200
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_JazzFunk_100_E_002.wav,0.224969272658604,0.144470586338734,0.112422433416319,0.493095013123273,0.113356050820976,0.489009704600444,0.130642809585118,0.481480338419778,0.326998356517736,0.2014096264678,0.13652243717005,0.331169583831567,0.116863038258449,0.339142007619048,0.239900776427901,0.484999184483814,0.146757286193276,0.175873165222158,0.146420744233023,0.385716476580455,0.120446683648437,0.135058702492315,0.383267423892487,0.378433426256334,0.200429315143399,0.24501340714804,0.308607416344078,0.278449902962645,0.253082915208913,0.244795451528072,0.357089326961576,0.158190556734974,0.239377928556674,0.218931471173351,0.386831759952124,0.286193814344443,0.173003344571595,0.318437932427539,0.329080002995921,0.0832905299748888,0.488900317473128,0.51030017154284,0.315040243963785,0.28412064308943,0.52202476989784,0.398707078573538,0.338285290289153,0.50651764482003,0.197266442707071,0.311075545793107,0.375760269306065,0.33030850889376,0.242854102367197,0.312376848831179,0.436556188358217,0.363195852249494,0.365411426239091,0.349888589559389,0.302056907694196,0.30275601221231,0.177025380025815,0.362833247470619,0.299328507339042,0.211325870024999,0.169996385301649,0.271924666569111,0.254471132405476,0.774694140257557,0.342093745604608,0.157274771100751,0.392935859031993,0.148494466582125,0.271315502492615,0.36468342848558,0.279141218990797,0.296661784340108,0.345139990107458,0.418300537313572,0.480652652997964,0.170479559763141,0.242271857398965,0.219284957170264,0.390043445284017,0.23570717268184,0.269419649963849,0.354006642509467,0.405927205287941,0.0918222677627894,0.553458002906821,0.569116665577538,0.316035461632837,0.292595180128067,0.529456055274577,0.415173452394515,0.340990341896811,0.508272805318236,0.181951033394062,0.315807941836047,0.385606619021404,0.294733805179855,0.256616303630005,0.280182587002235,0.39098894809648,0.354002790095904,0.371968667039157,0.270697301559065,0.272318042216583,0.263158294165921,0.259487570329027,0.33159907646691,0.26310650773536,0.317458659460568,0.26246196474889,0.272301080762427,0.650575510436881,0.163296512010645,0.279773783847301,0.270642617193269,0.249398288903342,0.24501898376059,0.289136734387909,0.311699369660722,0.284069371718486,0.312749859766718,0.32132416745151,0.312397922145943,0.275227111358344,0.249884831227615,0.186712887856915,0.516483814921077,0.14962318929202,0.489728378348973,0.173427001313854,0.530202901335655,0.153589162669388,0.462942192912495,0.160859691714833,0.428737100363554,0.124308907506731,0.478750297226045,0.0860357855045417,0.259242994580839,0.14223398046491,0.482250400656679,0.52313484318767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_Jazz_100_C_001.wav,0.375488091237215,0.345001910307019,0.431360250441209,0.504167608397704,0.425983201835415,0.504272449979277,0.444353038227607,0.492498309583502,0.505164663863115,0.382808246637333,0.371560018907254,0.254781524153774,0.548519530901381,0.452893739595406,0.433618053096472,0.518564336115261,0.323844654774959,0.294807001976288,0.2668715050096,0.219193896923725,0.379030607388904,0.332527601046241,0.394909203211007,0.325183142246704,0.527807232819513,0.496603144965169,0.413265431994502,0.576057918786127,0.502492448417732,0.553466039056872,0.434111281513015,0.330217607509072,0.465791133990706,0.423220232073818,0.431111266256042,0.432221089477646,0.441723638798269,0.433221208784951,0.265257819984701,0.267879224046651,0.460103827010238,0.446708839048581,0.72109379243509,0.490686121826934,0.383418829669331,0.302738553894869,0.396397605589157,0.408974732522418,0.463792299684534,0.499041387169505,0.553062260731332,0.574677601311259,0.530483353757282,0.492630305932683,0.507465472794095,0.493593899818485,0.603072998938219,0.497303049980057,0.637363958224274,0.655833154600595,0.564946811567581,0.531926840316038,0.66936310258373,0.629043365475335,0.394823511088506,0.359931561083445,0.235781078551717,0.587965590344427,0.369394206511993,0.282968794864567,0.501817620824056,0.491844895793706,0.463786752196597,0.46607412202934,0.374078710390277,0.582601803326442,0.488691461070473,0.426497666099747,0.328609920266045,0.406484864891256,0.453064989625146,0.372082271030934,0.391164818320667,0.363636887851938,0.498599224713631,0.368289936910138,0.269999316703385,0.26659929711094,0.500832007384541,0.442863298169714,0.717522765514136,0.475618367758561,0.384032881889992,0.308729103797188,0.396734231880058,0.411240073408458,0.471369453420337,0.495559201237198,0.492623715669533,0.572423495410016,0.519901331567634,0.494347279833739,0.597633133607124,0.489052081595157,0.535991651477682,0.578214152281376,0.556465127196829,0.566827648058112,0.563589064697003,0.464086523402022,0.527086190082122,0.586070307073016,0.617867398576899,0.462429617472409,0.398920507563431,0.381092769642708,0.629372253288002,0.594064402403138,0.554351073628934,0.488174649087835,0.616357815951309,0.511013442821859,0.62460286095682,0.495082024981523,0.569430016211828,0.506018587901295,0.664982624224976,0.548559567461081,0.544179372090007,0.535531910354592,0.352929295830888,0.552830574322691,0.558990075603345,0.534968212437332,0.365944280192988,0.494342124765866,0.524732328217353,0.5357680946328,0.42507412210521,0.518285299268032,0.433991362504458,0.556520473731073,0.443637132104393,0.424786578244035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_Jazz_100_C_002.wav,0.311875553970429,0.256258770460092,0.107482641971874,0.28777191297227,0.092828551548095,0.275740728095936,0.123821456579226,0.283098517263855,0.279145171753017,0.229934154730409,0.13995953648429,0.257743302720466,0.116061087273595,0.127204887253387,0.154998526539489,0.337368021737133,0.179158070781848,0.0690503190511526,0.130968365554655,0.0616984390373194,0.172438483750805,0.0716525988529216,0.144185365106966,0.212783050948752,0.256061533708994,0.140972941616779,0.257941904684419,0.114011302373385,0.177101825587404,0.151198343240329,0.31303761359717,0.111924136276395,0.19642575050782,0.170964661856447,0.15629840256088,0.175446448552666,0.100850615161171,0.19557395472179,0.200591448551542,0.0454002027613803,0.218002973061345,0.315485025838354,0.246708544477738,0.202755411637492,0.283711972060304,0.127463730520871,0.20213732420965,0.182835834254272,0.15792877903192,0.145327623020565,0.227716253389942,0.152821704075756,0.189821756363559,0.138952605562168,0.213329075171296,0.192965978301097,0.214858968607246,0.20655231485891,0.207376984943196,0.247920054503893,0.249943934582626,0.227191380626629,0.233040620708157,0.232535269198984,0.141964953052017,0.109344014265846,0.125940499788359,0.0968027046571437,0.15282987001464,0.0997437091073805,0.108335517318276,0.164500225370446,0.211096096297871,0.173984547313612,0.159173995187939,0.121533318777336,0.295394911475311,0.172766215970462,0.158770340334062,0.123120637234943,0.183253604351874,0.194115303229778,0.161400916891158,0.126867446672538,0.136212471484512,0.220516659904808,0.236787025978829,0.0519762653086833,0.242668061935034,0.309668651120536,0.24679197811682,0.200172959238895,0.259083466024893,0.139134115182099,0.202334906797275,0.181576719975216,0.132399248666668,0.155404707820493,0.185751517627151,0.143329744999648,0.185735759105636,0.124245584597404,0.205273834742432,0.206659526395434,0.198626331953947,0.214458575334629,0.259288290571877,0.207612415611343,0.239284934249463,0.263699748873501,0.230777011354782,0.309073364141213,0.250428509535854,0.20767692480559,0.177359402711339,0.656823691025264,0.232486503839556,0.216925476668201,0.232883265801726,0.469794620648994,0.228571439415392,0.203910435537722,0.222824602136679,0.216536672630697,0.211000129585645,0.282681468025401,0.220423957834965,0.163884720322896,0.231345809684739,0.329458438171979,0.111070155739874,0.369349719063259,0.259298987647486,0.282915586392146,0.116212382876011,0.324934715380171,0.243127298975676,0.249564358303639,0.101234280081388,0.281092020379204,0.0961553391808358,0.165528264703042,0.108901395216902,0.270894513863211,0.327610614636343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_Jazz_100_C_003.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_RÅïB_100_G_001.wav,0.29965436995278,0.301527802441475,0.184304970795173,0.475640155906895,0.174451030983551,0.446294654895073,0.179475444852773,0.464759160546601,0.332558221666024,0.501838644675792,0.306555634725405,0.391313547174105,0.105978171423176,0.821665260826222,0.365264564655767,0.479932084805234,0.469208468633785,0.109803656285236,0.10404453196698,0.145358008372353,0.237121016174178,0.128136150558465,0.178368668043615,0.338409797658737,0.25164005479127,0.291454194299968,0.357754220939119,0.228867246093802,0.315405922429895,0.27204687215984,0.582196032324766,0.245656962349365,0.272866661474113,0.334464990409946,0.267128385981995,0.34519103481908,0.254663304842236,0.389053639650468,0.429175741475412,0.105903451589015,0.332845555423046,0.435234986711406,0.263839833971125,0.584394479609867,0.379128294799383,0.202756528001878,0.226061129832806,0.252898096539874,0.262369910212821,0.27453605378507,0.26469381750339,0.423085055996615,0.288401004638196,0.341428287604118,0.296669186480478,0.343289788410209,0.274089522182034,0.3270673709289,0.235555352012619,0.443092445842771,0.430346529619317,0.365619255650083,0.273615000151903,0.448501273224174,0.568070280044285,0.151412445035624,0.144344866674388,0.186505881623091,0.612089668116064,0.13336880036805,0.119227401753643,0.497512820961396,0.53341904107863,0.248893159125813,0.21437977085638,0.236541598891221,0.473652077555299,0.309539606186438,0.205899133439262,0.179015499467933,0.32415379281977,0.315689061811531,0.238984692229595,0.234172865141723,0.22670061966204,0.436265316465183,0.38412810915744,0.126004524676948,0.417365435149111,0.437874960337893,0.254663349325998,0.547242864199002,0.352447070328025,0.215171188980458,0.215111411503087,0.257569335393751,0.246821384448006,0.298133371094706,0.244922254217517,0.296781015761412,0.280555467588205,0.219374464526609,0.288389115012436,0.430803259979879,0.252953525999206,0.326583414884466,0.495421137673048,0.308441976446133,0.483116368142255,0.362173499887119,0.233119004659183,0.395312275758271,0.474469502553316,0.386272837461178,0.236166752217449,0.286931151008231,0.26692319740117,0.392054238793427,0.362266089681271,0.481966449217576,0.25634601556868,0.373795329366626,0.253409558003042,0.386624272259488,0.262171013705795,0.374263089210217,0.258253206490223,0.441624700504949,0.47277908122385,0.469191317875127,0.184933695202307,0.382838592752929,0.478025541210388,0.429995388921005,0.185906088959639,0.365824298580351,0.394857846898801,0.376040559462964,0.173546977342712,0.451773351828074,0.162145195829795,0.213609714922644,0.173681362444272,0.459243162605413,0.452344253577235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_RÅïB_100_G_002.wav,0.196010667896041,0.228506628951022,0.218534088220934,0.330387379109868,0.216353686927289,0.342137508914387,0.336670991580746,0.37813696765934,0.266101098161907,0.195856148687575,0.221063165876236,0.228221464647014,0.106248771361218,0.202780471438775,0.272802294132535,0.230791336273196,0.206913166934697,0.210824188577578,0.202000875006774,0.21799365209265,0.224163262915508,0.293818738335006,0.296300631371291,0.241945184727785,0.29266737892616,0.323240505552216,0.362515339461909,0.372459053132808,0.343302022305568,0.427221852431511,0.282719510570258,0.300063630266248,0.314019229864349,0.337686159226489,0.31204434539456,0.287502778947684,0.298836313152899,0.26469602509553,0.243284523860694,0.343617271995419,0.57263507629666,0.447741005805939,0.341767325380814,0.353833964405439,0.563745102841007,0.412966603244929,0.326683954195556,0.293754352934325,0.414901819261527,0.434724022395825,0.450661285822478,0.417412508644508,0.402551684413221,0.440503237086778,0.517771446400881,0.447454011736692,0.465053052511581,0.406727857487172,0.384180581360501,0.326797443435772,0.38780585966426,0.400483053681516,0.336501809703182,0.205843139916637,0.234943838909735,0.277890424586666,0.352781943535892,0.302668284505363,0.225299565230414,0.272045672847181,0.263047882040325,0.243840948866099,0.330421389774112,0.345014176435919,0.364273568306694,0.378322787981734,0.302175223480509,0.476224689951028,0.373816309292211,0.292415579050354,0.325044765497756,0.341336490846187,0.339412771232721,0.326935360064764,0.349019418612949,0.369635607400838,0.286775823503983,0.368553187110826,0.584984110601904,0.437374025690883,0.332254993393665,0.347447184936981,0.557586556625277,0.429360337625241,0.320468880715372,0.286853737008888,0.376327571127313,0.45633654913076,0.444467063887091,0.378274913654337,0.379870425159583,0.445922580992862,0.518222795384006,0.403547470330231,0.435655702494939,0.307323980344615,0.388057973623835,0.298596621709411,0.372675300534793,0.35274832859185,0.452118122429409,0.350524095323931,0.336031665632881,0.368578246851718,0.491451008822662,0.305874046217224,0.393358180635775,0.341844016726451,0.382547057563209,0.333386414402997,0.412073613572906,0.368099982527831,0.429662399237702,0.362640463796767,0.434989925326198,0.402141077972203,0.282381390559131,0.24336423721517,0.233454132834913,0.313338974905472,0.301214816403651,0.282714965284039,0.231584201101182,0.309410029448875,0.303445287764619,0.25259628683194,0.219631786595513,0.328195049605597,0.227537574764207,0.239529847419869,0.181752131861837,0.320890797586902,0.345905793692623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_RÅïB_100_G_003.wav,0.504911964364351,0.241260661784303,0.584390819822153,0.463357751750209,0.574875714450279,0.451683966000455,0.534659692293716,0.466565780712957,0.596296236154855,0.27734685627122,0.59624780873476,0.292386574931017,0.213867594076717,0.580105501673596,0.634890230123711,0.364265422622356,0.595970473306152,0.250852485707606,0.318876194039339,0.130949547536338,0.518513638447225,0.257935562434809,0.421974398689134,0.301141262362813,0.597400753160752,0.536375462416392,0.484100429117423,0.418917305040514,0.591603956491781,0.436304198049009,0.690969791093473,0.281638119853736,0.40294816811824,0.48768936452937,0.419161356996968,0.437087327226481,0.348452206076391,0.461492847871692,0.294835908334677,0.266069528224835,0.333149890767156,0.629056991865194,0.522248676326974,0.777520159394535,0.488770426058828,0.309620279545531,0.434745754643947,0.265538525738732,0.489593870336397,0.539220466291674,0.487414471074211,0.632964760257335,0.536987053420384,0.58427039588984,0.512436926185211,0.472050164258645,0.54373104990838,0.682732603108104,0.542940696001287,0.758247341886883,0.657427911788848,0.678353555334068,0.537948281994033,0.570921343066375,0.756378946953011,0.433313630126273,0.248052283507195,0.266726959508851,0.744475732594914,0.337230901028008,0.252857256451933,0.538889017436139,0.651308692305506,0.474580427749238,0.367166192158525,0.461007577403753,0.746775949623523,0.47789286557383,0.376318781900765,0.29932443485176,0.472432064536056,0.43836952843574,0.378445215259267,0.377921743639748,0.40333704875865,0.500742593925308,0.268208123956635,0.234810323169161,0.390637690599266,0.623646492738303,0.51296056988683,0.805900038756404,0.465571842347931,0.32307137834383,0.431733261845284,0.26926579369366,0.48129780480299,0.565760221313822,0.450571210931127,0.515556694356627,0.539938642747392,0.538566741172954,0.504293880951797,0.598920099749129,0.528520137919478,0.50555044586642,0.710052389376065,0.574352438079969,0.718610004690811,0.637321182434311,0.430939367641499,0.627510458550519,0.69591283930278,0.729906223144139,0.380875555545781,0.453427005646749,0.555086300449515,0.736587802314761,0.543154548569419,0.702738005556295,0.517768029377319,0.719457665077659,0.530727799388017,0.726071284399673,0.469674598775441,0.69230113803433,0.478224518016965,0.600812841686052,0.642299314936374,0.584617020978863,0.604806762280015,0.357736971962132,0.701698747973218,0.615211627346979,0.541299794370066,0.333054434237199,0.626086359537882,0.572911652506734,0.595683605328716,0.466194486712138,0.544174743811973,0.496994159700038,0.538572659767454,0.461977145191218,0.413229569049445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_RÅïB_100_G_004.wav,0.18292936908165,0.171330463043642,0.172815934966199,0.194487288958526,0.169941614784186,0.18769113766034,0.179197313871923,0.309182937801268,0.212611906749874,0.126188506410276,0.155820711839087,0.137353413060967,0.102484362421112,0.0916077987058306,0.177483984993246,0.183280370469408,0.133845480569963,0.175569143189611,0.0989240112191218,0.109817364031095,0.194066760733835,0.239627816531903,0.156772393730536,0.159936099837501,0.215818821543431,0.241155735336797,0.24308095132643,0.302297822362383,0.268225992683725,0.279913310547052,0.241009403645877,0.201420749297577,0.30963045041558,0.247524422312451,0.260242979168533,0.284521837177749,0.2763216847271,0.231780121704637,0.204859450228294,0.214847006517768,0.249468582488604,0.313790984727266,0.222790016594012,0.207970572414983,0.183742664587662,0.216272478797096,0.201784819948694,0.158531624750244,0.206743905181494,0.249163300468855,0.254871350947406,0.264580367040303,0.244999191392587,0.246097552894152,0.264380255278321,0.289103537091042,0.238354239648436,0.279618586898098,0.270199887969553,0.265101065433414,0.196611039576182,0.297308909234408,0.242489761088639,0.1904092743983,0.158258837320744,0.191707798501993,0.196539228765782,0.151653229937015,0.183217796474638,0.182803494694192,0.144995936889305,0.198681793286284,0.206187948315984,0.217178756896206,0.241806647176499,0.235511503485637,0.29843178729669,0.273242055109957,0.294452139048153,0.275084421633864,0.311838112968015,0.270718109508734,0.26767237977979,0.283112079854952,0.286748933829508,0.260510179585306,0.189392910204553,0.209296751951264,0.262556231433777,0.327885317396998,0.219702903430209,0.20411308919644,0.184027968778425,0.218451109379503,0.180171621555467,0.160254440760207,0.198260814195108,0.220522884364433,0.237143721629669,0.259526507465557,0.237368952182155,0.239833403855679,0.273467594686094,0.270765360106859,0.199779577738382,0.30762369001999,0.213831672655598,0.276966491451108,0.228988045927808,0.298350608896322,0.239594258588859,0.302429572360033,0.20853797194242,0.236164656385565,0.269176833642863,0.223319782621686,0.22407583656862,0.264549035430462,0.207568245316758,0.253422827182378,0.225379251555701,0.288742966308898,0.228167249586491,0.312898610960939,0.225141725938307,0.333986505027627,0.222192357473622,0.173505519913867,0.14315269446457,0.140186857128861,0.175623194935199,0.230506183125794,0.142582669290572,0.14329647909656,0.181450997358221,0.205582708749044,0.124858920764303,0.116474577182328,0.175900032091656,0.182391252143267,0.106285494660683,0.131104681239715,0.180196055583002,0.37015674103733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_RÅïB_100_G_005.wav,0.589891782529151,0.649208801097689,0.110171162760385,0.358363298021662,0.0811542095109218,0.294440697730437,0.0948179229369365,0.304983350489829,0.397436746510247,0.372493289836285,0.189088817298113,0.436712639674024,0.384528284653561,0.0765730030766582,0.126118477975373,0.516521632963083,0.111457932233343,0.118320768122904,0.342392546972674,0.0453901369011418,0.122299847080192,0.135325309448606,0.275631172045746,0.203135297499117,0.200414106693895,0.206488572693442,0.438878989030148,0.244383791044169,0.285871524282453,0.227369082418387,0.348003702387435,0.226149437548406,0.562359166736288,0.260164522082214,0.190624711002809,0.306640308936538,0.223801006573861,0.380377262209,0.412681923325357,0.118978622578644,0.292936196073993,0.318053035216846,0.335819920400858,0.208488956438491,0.392876123586482,0.164925069422769,0.272739406395451,0.195499709779718,0.197836954654994,0.230638952111863,0.25385540631262,0.234872805009234,0.267876570690949,0.233924339679729,0.251015491314455,0.260222972436425,0.298196470677354,0.250322541129717,0.308064524502232,0.30780541811163,0.27596155517537,0.271107564272556,0.291771262209604,0.299977308279205,0.101785015437577,0.145227196816042,0.563992013886754,0.0810263274361448,0.120174085690578,0.130664051338834,0.243070062558151,0.156352096695289,0.244124716366151,0.281941605882046,0.554237101219826,0.16939118055027,0.260577659792499,0.290727270353614,0.365371533789451,0.251251556670077,0.463056466525168,0.352482958835901,0.193430449511945,0.237762023096901,0.237050157862437,0.360472696476884,0.429061590364478,0.14635627145999,0.335770827289475,0.317458957075419,0.329646601359684,0.202977212517999,0.396245952333406,0.169186108275164,0.277266325181087,0.203438059421182,0.170133548662314,0.239380831362813,0.234867222933477,0.212055748456197,0.241386133652324,0.222008930789766,0.271710030818487,0.33614946090443,0.275978102287571,0.630977355451876,0.273708925230336,0.431738783849393,0.253515794670278,0.554619711151925,0.430720201798151,0.482291754251203,0.254599285319571,0.254396055932331,0.192642666562879,0.462951944945142,0.284321872963548,0.259618705473006,0.28392689763329,0.322345923173141,0.293818558009852,0.258462512277269,0.287478825796352,0.26592252361452,0.290568957504387,0.400480077954619,0.318882426594179,0.197418646112109,0.259786149456036,0.404132107672864,0.110836914612093,0.605767945235289,0.315485781052139,0.350110347948149,0.128809639748941,0.565283772274973,0.302356064144983,0.287235494276568,0.0900272573722165,0.309335723483835,0.114680176093184,0.173386402415936,0.093062630819811,0.314134291794463,0.341625517034087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You & Me ft. Eliza Doolittle,Disclosure,Cakewalk,Melody,Vocal_Techno_130_E_001.wav,0.452454274514463,0.0777212576264662,0.560686801130585,0.279834652750727,0.600809596947572,0.275728569634095,0.591090273859797,0.278454155879538,0.506467201184417,0.0822735366414901,0.483989127349444,0.128248163191837,0.206454167886644,0.151420720714215,0.571729715146093,0.135805842442217,0.573940081520558,0.256615010485362,0.326352443037237,0.0736760814785006,0.853394686376635,0.267411064477441,0.432608888462692,0.103275040384924,0.688095437740865,0.420743877154046,0.325497617167841,0.279653488486077,0.540912950680544,0.352908363065403,0.396297081064566,0.194967414128217,0.326645453015462,0.354182480504139,0.305820145985784,0.312535908368598,0.268598390671401,0.313086130567599,0.0577939052178597,0.18015674146401,0.220603530141019,0.363003677923399,0.534543191628853,0.443797207798416,0.286536431215375,0.212523682185983,0.44756593314617,0.189672716974164,0.434883688081608,0.378266489149522,0.459630811849513,0.364410545083666,0.438758927629715,0.351581573976274,0.483376967847846,0.342257668989291,0.49187730776846,0.499203159897659,0.537145886680831,0.485247302471588,0.599897379830322,0.459515909773633,0.516409601161001,0.290310680449803,0.368738451915776,0.324554014386081,0.204265054581601,0.172845805483335,0.32897729126167,0.335424835797434,0.21838152350768,0.149286368563319,0.442964113735338,0.349129614427057,0.295919722974506,0.276974725237523,0.492780408105117,0.328743002538072,0.293933560575678,0.250546155134643,0.393806130604397,0.329759052767511,0.343505887386386,0.25714566786881,0.341630525289457,0.283896286319223,0.0617884205179065,0.160509976618107,0.26370206768591,0.374540782407711,0.529537733858443,0.449962074899618,0.287175994803219,0.216158499262162,0.449312514964414,0.191781600064903,0.417595295109888,0.371851725172453,0.411771046837064,0.330658007279883,0.449430923882947,0.37254992784634,0.466020792476829,0.351476617670057,0.475630554948386,0.34358037702793,0.608829827490107,0.432032839289599,0.598189902570237,0.446888121325402,0.420745815122871,0.430846667816623,0.623074826421355,0.530981827078658,0.3059430963601,0.282526721491274,0.537230333103313,0.541548437431138,0.458051149102685,0.636364669989128,0.527854084157856,0.524348771757103,0.518531122558791,0.530249330041956,0.43154760217978,0.511199758152604,0.476829377750825,0.289067829070163,0.525577046061409,0.307867942585888,0.502972814153754,0.178971952423366,0.527318521184842,0.318138347785795,0.574932932701062,0.170064197570892,0.484731643345761,0.3386912479854,0.491581181865585,0.28868749761733,0.494259814216873,0.37857620294929,0.561050696928669,0.290484740299723,0.278236476325479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
